,generation algorithm,turn_num,L_num,L_size,L_size_std,R_num,R_size,R_size_std,boader_l,neighbor_sum,correct_path_len,turn_pos_num,dead_end_num,T_num,cross_num,straight_len_std,straight_num,gorl_depth,depth_std,depth_max,depth_mean
0,AldousBroder,14,1,22,0,3,90,29.02872141,114,2,49,36,11,9,0,105,55,48,20.9414769,64,42
1,AldousBroder,15,3,46,8.37987006,5,70,14.02854233,165,8,45,36,11,9,0,105,55,44,15.95033615,60,34.36363636
2,AldousBroder,13,1,6,0,5,106,13.77534029,147,6,49,38,12,10,0,98,58,48,20.34903765,64,37.5
3,AldousBroder,15,2,48,8,4,60,10.72380529,142,4,53,34,9,7,0,111,49,52,16.7450011,60,35.77777778
4,AldousBroder,24,4,58,13.44432966,8,30,2.537222891,145,12,73,37,14,12,0,98,62,72,25.67616222,82,43.14285714
5,AldousBroder,21,5,66,14.83778959,3,18,2.828427125,123,6,77,34,12,8,1,106,54,76,21.07328483,78,37.5
6,AldousBroder,13,2,72,22,1,44,0,100,1,45,37,10,8,0,106,54,44,17.49171232,58,45.8
7,AldousBroder,19,3,40,14.63633227,4,64,23.10844002,126,5,57,41,11,9,0,100,60,56,16.735176,58,38.54545455
8,AldousBroder,16,3,28,10.37089946,3,80,16.51934892,135,2,53,42,11,9,0,99,61,52,20.04457842,76,35.81818182
9,AldousBroder,26,3,58,20.41785711,4,30,6.538348415,109,5,73,45,9,7,0,100,60,72,34.55108939,116,55.33333333
10,AldousBroder,15,4,88,29.15475947,3,28,3.771236166,115,4,45,39,13,7,2,100,60,44,13.62038153,54,34.15384615
11,AldousBroder,9,1,6,0,4,110,21.65063509,127,5,45,39,10,8,0,104,56,44,20.5143852,80,37.4
12,AldousBroder,15,4,92,22.02271555,3,20,3.399346342,133,5,49,37,14,12,0,97,61,48,18.56538363,60,40.42857143
13,AldousBroder,15,4,76,21.61018278,3,20,5.249338583,116,5,65,35,11,7,1,107,53,64,17.40143435,68,49.09090909
14,AldousBroder,29,3,16,1.885618083,5,44,6.013318551,113,5,101,36,9,7,0,109,51,100,37.78431316,108,55.11111111
15,AldousBroder,15,2,16,4,3,72,18.40289832,101,2,73,42,8,6,0,105,55,72,26.32489316,82,45
