,generation algorithm,straights_num,turn_num,dead_end_num,T_num,cross_num,correct_path_len,turn_num_in_correct_path,border_l,neighbor_sum,L_num,L_size,L_size_std,R_num,R_size,R_size_std
0,AldousBroder,105,14,11,9,0,49,36,114,2,1,22,0,3,90,29.02872141
1,AldousBroder,105,15,11,9,0,45,36,165,8,3,46,8.37987006,5,70,14.02854233
2,AldousBroder,101,13,12,10,0,49,38,147,6,1,6,0,5,106,13.77534029
3,AldousBroder,111,15,9,7,0,53,34,142,4,2,48,8,4,60,10.72380529
4,AldousBroder,98,24,14,12,0,73,37,145,12,4,58,13.44432966,8,30,2.537222891
5,AldousBroder,106,21,12,8,1,77,34,123,6,5,66,14.83778959,3,18,2.828427125
6,AldousBroder,106,13,10,8,0,45,37,100,1,2,72,22,1,44,0
7,AldousBroder,100,19,11,9,0,57,41,126,5,3,40,14.63633227,4,64,23.10844002
8,AldousBroder,99,16,11,9,0,53,42,135,2,3,28,10.37089946,3,80,16.51934892
9,AldousBroder,100,26,9,7,0,73,45,109,5,3,58,20.41785711,4,30,6.538348415
10,AldousBroder,100,15,13,7,2,45,39,115,4,4,88,29.15475947,3,28,3.771236166
11,AldousBroder,104,9,10,8,0,45,39,127,5,1,6,0,4,110,21.65063509
12,AldousBroder,98,15,14,12,0,49,37,133,5,4,92,22.02271555,3,20,3.399346342
13,AldousBroder,107,15,11,7,1,65,35,116,5,4,76,21.61018278,3,20,5.249338583
14,AldousBroder,109,29,9,7,0,101,36,113,5,3,16,1.885618083,5,44,6.013318551
15,AldousBroder,105,15,8,6,0,73,42,101,2,2,16,4,3,72,18.40289832
16,AldousBroder,102,13,10,8,0,45,41,111,2,1,12,0,3,104,24.23954528
17,AldousBroder,105,10,8,6,0,37,42,124,2,3,100,20.99735433,2,24,10
18,AldousBroder,111,11,8,6,0,49,36,132,4,2,8,2,4,104,25.33771892
19,AldousBroder,103,22,11,9,0,69,38,142,8,3,14,2.494438258,6,78,13.50308607
20,AldousBroder,108,20,10,8,0,65,35,118,4,4,84,19.67231557,2,12,2
21,AldousBroder,107,17,10,8,0,53,36,93,3,2,52,20,3,56,22.1710522
22,AldousBroder,101,21,10,8,0,57,42,125,5,5,96,19.41545776,1,8,0
23,AldousBroder,101,17,10,6,1,41,43,127,4,3,94,13.29995823,2,26,11
24,AldousBroder,113,17,11,9,0,81,28,117,1,2,4,0,5,76,16.61806246
25,AldousBroder,109,8,11,7,1,37,33,168,4,4,60,15.77973384,3,64,14.26728971
26,AldousBroder,106,12,12,10,0,61,33,68,1,2,98,45,1,2,0
27,AldousBroder,100,20,9,7,0,57,45,105,5,1,2,0,5,102,28.15386297
28,AldousBroder,104,14,8,6,0,53,43,103,3,3,104,30.91206165,2,4,0
29,AldousBroder,96,17,10,8,0,53,47,114,3,3,100,30.12566274,3,8,0.942809042
30,AldousBroder,107,13,11,9,0,49,34,127,5,5,110,29.17533205,1,2,0
31,AldousBroder,97,31,13,11,0,93,40,92,1,4,46,16.45448267,3,22,3.399346342
32,AldousBroder,106,8,10,8,0,37,37,138,5,4,98,25.62713406,2,26,5
33,AldousBroder,102,15,12,10,0,53,37,128,3,3,70,23.22833519,4,38,3.840572874
34,AldousBroder,97,26,11,9,0,89,44,112,3,4,32,4,4,40,4.69041576
35,AldousBroder,108,11,10,8,0,53,35,142,6,4,76,16.15549442,4,32,2.828427125
36,AldousBroder,112,21,7,5,0,77,37,118,3,4,50,4.974937186,2,34,13
37,AldousBroder,99,27,10,8,0,85,44,145,4,5,42,7.418894796,4,34,10.13656747
38,AldousBroder,103,17,10,8,0,49,40,94,3,1,16,0,4,96,35.80502758
39,AldousBroder,101,12,8,6,0,45,46,105,2,1,80,0,3,36,9.092121131
40,AldousBroder,114,4,9,7,0,37,31,112,3,3,124,7.363574011,0,0,0
